name	kind	expansion	primary
\uArr	alias	\Uparrow	\Uparrow
\uarr	alias	\uparrow	\uparrow
\ulcorner	operator	\html@mathml{\@ulcorner}{\mathop{\char"231c}}	
\underbar	construct	\underline{\text{#1}}	
\urcorner	operator	\html@mathml{\@urcorner}{\mathop{\char"231d}}	
\varDelta	construct	\mathit{\Delta}	
\varGamma	construct	\mathit{\Gamma}	
\varLambda	construct	\mathit{\Lambda}	
\varOmega	construct	\mathit{\Omega}	
\varPhi	construct	\mathit{\Phi}	
\varPi	construct	\mathit{\Pi}	
\varPsi	construct	\mathit{\Psi}	
\varSigma	construct	\mathit{\Sigma}	
\varTheta	construct	\mathit{\Theta}	
\varUpsilon	construct	\mathit{\Upsilon}	
\varXi	construct	\mathit{\Xi}	
\varcoppa	construct	\mbox{\coppa}	
\varinjlim	operator	\DOTSB\operatorname*{\underrightarrow{lim}}	
\varliminf	operator	\DOTSB\operatorname*{\underline{lim}}	
\varlimsup	operator	\DOTSB\operatorname*{\overline{lim}}	
\varprojlim	operator	\DOTSB\operatorname*{\underleftarrow{lim}}	
\varsubsetneq	construct	\html@mathml{\@varsubsetneq}{⊊}	
\varsubsetneqq	construct	\html@mathml{\@varsubsetneqq}{⫋}	
\varsupsetneq	construct	\html@mathml{\@varsupsetneq}{⊋}	
\varsupsetneqq	construct	\html@mathml{\@varsupsetneqq}{⫌}	
\vcentcolon	operator	\mathrel{\mathop\ordinarycolon}	
\vdots	construct	{\varvdots\rule{0pt}{15pt}}	
\weierp	alias	\wp	\wp
~	alias	\nobreakspace	\nobreakspace
©	alias	\copyright	\copyright
®	alias	\textregistered	\textregistered
‼	construct	\mathclose{!\mkern-0.8mu!}	
ℋ	construct	\mathscr{H}	
ℌ	construct	\mathfrak{H}	
ℐ	construct	\mathscr{I}	
ℒ	construct	\mathscr{L}	
ℛ	construct	\mathscr{R}	
ℨ	construct	\mathfrak{Z}	
ℬ	construct	\mathscr{B}	
ℭ	construct	\mathfrak{C}	
ℰ	construct	\mathscr{E}	
ℱ	construct	\mathscr{F}	
ℳ	construct	\mathscr{M}	
↤	alias	\mapsfrom	\mapsfrom
∉	alias	\notin	\notin
∌	alias	\notni	\notni
∷	alias	\dblcolon	\dblcolon
∹	alias	\eqcolon	\eqcolon
≔	alias	\coloneqq	\coloneqq
≕	alias	\eqqcolon	\eqqcolon
≘	construct	\html@mathml{\mathrel{=\kern{-1em}\raisebox{0.4em}{$\scriptsize\frown$}}}{\mathrel{\char`≘}}	
≙	construct	\html@mathml{\stackrel{\tiny\wedge}{=}}{\mathrel{\char`≘}}	
≚	construct	\html@mathml{\stackrel{\tiny\vee}{=}}{\mathrel{\char`≚}}	
≛	construct	\html@mathml{\stackrel{\scriptsize\star}{=}}{\mathrel{\char`≛}}	
≝	construct	\html@mathml{\stackrel{\tiny\mathrm{def}}{=}}{\mathrel{\char`≝}}	
≞	construct	\html@mathml{\stackrel{\tiny\mathrm{m}}{=}}{\mathrel{\char`≞}}	
≟	construct	\html@mathml{\stackrel{\tiny?}{=}}{\mathrel{\char`≟}}	
≠	alias	\neq	\neq
⋮	alias	\vdots	\vdots
⌜	alias	\ulcorner	\ulcorner
⌝	alias	\urcorner	\urcorner
⌞	alias	\llcorner	\llcorner
⌟	alias	\lrcorner	\lrcorner
⟂	alias	\perp	\perp
⟦	alias	\llbracket	\llbracket
⟧	alias	\rrbracket	\rrbracket
⦃	alias	\lBrace	\lBrace
⦄	alias	\rBrace	\rBrace
⦵	alias	\minuso	\minuso
⩴	alias	\Coloneqq	\Coloneqq
