command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\nsubseteqq	symbol	math	U+2AC5 U+0338	nsubseteqq	not-subset-nor-equals	RELOP		\nsubseteqq	lib/LaTeXML/Package/txfonts.sty.ltxml:268	
\nsuccapprox	symbol	math	U+2AB8 U+0338	nsuccapprox	not-succeeds-nor-approximately-equals	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:270	
\nsucccurlyeq	symbol	math	U+22E1	nsucccurlyeq	not-succeeds-nor-equals	RELOP		\nsucceq	lib/LaTeXML/Package/txfonts.sty.ltxml:272	
\nsucceqq	symbol	math	U+2AB4 U+0338	nsucceqq	not-succeeds-nor-equals	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:274	
\nsuccsim	symbol	math	U+227F U+0338	nsuccsim	not-succeeds-nor-equivalent-to	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:276	
\nsupset	symbol	math	U+2285	nsupset	not-superset-of	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:315	
\nthickapprox	symbol	math	U+2249	nthickapprox	not-approximately-equals	RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:280	
\ntwoheadleftarrow	symbol	math	U+2B34	ntwoheadleftarrow		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:282	
\ntwoheadrightarrow	symbol	math	U+2900	ntwoheadrightarrow		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:283	
\nuup	symbol	math	U+03BD	nuup				\nu	lib/LaTeXML/Package/txfonts.sty.ltxml:347	
\oiiint	symbol	math	U+2230	oiiint	triple-contour-integral	INTOP		\oiiint	lib/LaTeXML/Package/txfonts.sty.ltxml:93	
\oiiintclockwise	symbol	math	U+222D U+20D9	oiiintclockwise	triple-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:68	
\oiiintclockwiseop	symbol	math	U+222D U+20D9	oiiintclockwiseop	triple-clockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:71	
\oiiintctrclockwise	symbol	math	U+222D U+20DA	oiiintctrclockwise	triple-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:80	
\oiiintctrclockwiseop	symbol	math	U+222D U+20DA	oiiintctrclockwiseop	triple-counterclockwise-contour-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:83	
