command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\bigboxcirc	symbol	math	U+2218 U+20DE	bigboxcirc		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:640	
\bigboxdot	symbol	math	U+22A1	bigboxdot		MULOP		\boxdot	lib/LaTeXML/Package/mathabx.sty.ltxml:638	
\bigboxleft	symbol	math	U+22A3 U+20DE	bigboxleft		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:645	
\bigboxminus	symbol	math	U+229F	bigboxminus		ADDOP		\boxminus	lib/LaTeXML/Package/mathabx.sty.ltxml:632	
\bigboxplus	symbol	math	U+229E	bigboxplus		ADDOP		\boxplus	lib/LaTeXML/Package/mathabx.sty.ltxml:630	
\bigboxright	symbol	math	U+22A2 U+20DE	bigboxright		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:647	
\bigboxslash	symbol	math	U+29C5	bigboxslash					lib/LaTeXML/Package/mathabx.sty.ltxml:656	
\bigboxtimes	symbol	math	U+22A0	bigboxtimes		MULOP		\boxtimes	lib/LaTeXML/Package/mathabx.sty.ltxml:634	
\bigboxtop	symbol	math	U+22A4 U+20DE	bigboxtop		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:649	
\bigboxtriangleup	symbol	math	U+25B3 U+20DE	bigboxtriangleup		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:660	
\bigboxvoid	symbol	math	U+25A1	bigboxvoid					lib/LaTeXML/Package/mathabx.sty.ltxml:653	
\bigcomplementop	symbol	math	U+2201	bigcomplementop	nary-complement	BIGOP		\complement	lib/LaTeXML/Package/mathabx.sty.ltxml:558	
\bigcurlyvee	symbol	math	U+22CE	bigcurlyvee		SUMOP		\curlyvee	lib/LaTeXML/Package/mathabx.sty.ltxml:575	
\bigcurlywedge	symbol	math	U+22CF	bigcurlywedge		SUMOP		\curlywedge	lib/LaTeXML/Package/mathabx.sty.ltxml:571	
\bigoasterisk	symbol	math	U+229B	bigoasterisk		MULOP		\circledast	lib/LaTeXML/Package/mathabx.sty.ltxml:591	
\bigobackslash	symbol	math	U+29B8	bigobackslash					lib/LaTeXML/Package/mathabx.sty.ltxml:606	
\bigobot	symbol	math	U+29BA	bigobot					lib/LaTeXML/Package/mathabx.sty.ltxml:600	
\bigocirc	symbol	math	U+229A	bigocirc				\circledcirc	lib/LaTeXML/Package/mathabx.sty.ltxml:589	
\bigoleft	symbol	math	U+22A3 U+20DD	bigoleft		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:594	
\bigominus	symbol	math	U+2296	bigominus		ADDOP		\ominus	lib/LaTeXML/Package/mathabx.sty.ltxml:584	
\bigoright	symbol	math	U+22A2 U+20DD	bigoright		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:596	
\bigoslash	symbol	math	U+2298	bigoslash		MULOP		\oslash	lib/LaTeXML/Package/mathabx.sty.ltxml:604	
\bigotop	symbol	math	U+22A4 U+20DD	bigotop		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:598	
\bigotriangleup	symbol	math	U+25B3 U+20DD	bigotriangleup		ADDOP			lib/LaTeXML/Package/mathabx.sty.ltxml:608	
\bigovoid	symbol	math	U+25CB	bigovoid					lib/LaTeXML/Package/mathabx.sty.ltxml:602	
\bigplus	symbol	math	U+002B	bigplus	nary-plus	BIGOP		+	lib/LaTeXML/Package/mathabx.sty.ltxml:552	
