command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\HandPencilLeft	text	text	U+270D	HandPencilLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 22 (octal '026)
\HandRight	text	text	U+1F599	HandRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 17 (octal '021)
\HandRightUp	text	text	U+1F599	HandRightUp					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 19 (octal '023)
\JackStar	text	text	U+2723	JackStar					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 50 (octal '062)
\JackStarBold	text	text	U+2724	JackStarBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 51 (octal '063)
\NibLeft	text	text	U+2711	NibLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 30 (octal '036)
\NibRight	text	text	U+2711	NibRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 29 (octal '035)
\NibSolidLeft	text	text	U+2712	NibSolidLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 32 (octal '040)
\NibSolidRight	text	text	U+2712	NibSolidRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 31 (octal '037)
\OrnamentDiamondSolid	text	text	U+2756	OrnamentDiamondSolid					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 113 (octal '161)
\Peace	text	text	U+270C	Peace					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 21 (octal '025)
\PencilLeft	text	text	U+1F589	PencilLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 24 (octal '030)
\PencilLeftDown	text	text	U+1F589	PencilLeftDown					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 28 (octal '034)
\PencilLeftUp	text	text	U+1F589	PencilLeftUp					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 26 (octal '032)
\PencilRight	text	text	U+270F	PencilRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 23 (octal '027)
\PencilRightDown	text	text	U+270E	PencilRightDown					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 27 (octal '033)
\PencilRightUp	text	text	U+2710	PencilRightUp					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 25 (octal '031)
\Phone	text	text	U+260E	Phone					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 8 (octal '010)
\PhoneHandset	text	text	U+2706	PhoneHandset					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 9 (octal '011)
\Plane	text	text	U+2708	Plane					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 11 (octal '013)
\Plus	text	text	U+271A	Plus					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 39 (octal '047)
\PlusCenterOpen	text	text	U+271C	PlusCenterOpen					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 40 (octal '050)
\PlusOutline	text	text	U+2719	PlusOutline					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 38 (octal '046)
\PlusThinCenterOpen	text	text	U+271B	PlusThinCenterOpen					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 41 (octal '051)
\Rectangle	text	text	U+2759	Rectangle					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 117 (octal '165)
\RectangleBold	text	text	U+275A	RectangleBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 118 (octal '166)
\RectangleThin	text	text	U+2758	RectangleThin					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 116 (octal '164)
\ScissorHollowLeft	text	text	U+2704	ScissorHollowLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 7 (octal '007)
\ScissorHollowRight	text	text	U+2704	ScissorHollowRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 6 (octal '006)
\ScissorLeft	text	text	U+2702	ScissorLeft					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 4 (octal '004)
\ScissorLeftBrokenBottom	text	text	U+2701	ScissorLeftBrokenBottom					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 3 (octal '003)
\ScissorLeftBrokenTop	text	text	U+2703	ScissorLeftBrokenTop					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 5 (octal '005)
\ScissorRight	text	text	U+2702	ScissorRight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 1 (octal '001)
\ScissorRightBrokenBottom	text	text	U+2701	ScissorRightBrokenBottom					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 0 (octal '000)
\ScissorRightBrokenTop	text	text	U+2703	ScissorRightBrokenTop					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 2 (octal '002)
\SixFlowerAltPetal	text	text	U+2743	SixFlowerAltPetal					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 85 (octal '125)
\SixFlowerAlternate	text	text	U+273E	SixFlowerAlternate					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 79 (octal '117)
\SixFlowerOpenCenter	text	text	U+273C	SixFlowerOpenCenter					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 77 (octal '115)
\SixFlowerPetalDotted	text	text	U+273E	SixFlowerPetalDotted					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 81 (octal '121)
\SixFlowerPetalRemoved	text	text	U+273B	SixFlowerPetalRemoved					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 76 (octal '114)
\SixFlowerRemovedOpenPetal	text	text	U+273E	SixFlowerRemovedOpenPetal					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 91 (octal '133)
\SixStar	text	text	U+2736	SixStar					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 71 (octal '107)
\SixteenStarLight	text	text	U+273A	SixteenStarLight					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 75 (octal '113)
\Snowflake	text	text	U+2745	Snowflake					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 96 (octal '140)
\SnowflakeChevron	text	text	U+2744	SnowflakeChevron					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 94 (octal '136)
\SnowflakeChevronBold	text	text	U+2746	SnowflakeChevronBold					tex/latex/bbding/bbding.sty + ding.fontmap.ltxml	Uding slot 95 (octal '137)
