command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\textopenbullet	text	text	U+25E6	textopenbullet					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textordfeminine	text	text	U+00AA	textordfeminine					lib/LaTeXML/Package/textcomp.sty.ltxml:159	from %textcomp_scientific
\textordmasculine	text	text	U+00BA	textordmasculine					lib/LaTeXML/Package/textcomp.sty.ltxml:159	from %textcomp_scientific
\textparagraph	text	text	U+00B6	textparagraph					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textperiodcentered	text	text	U+00B7	textperiodcentered					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textpertenthousand	text	text	U+2031	textpertenthousand					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textperthousand	text	text	U+2030	textperthousand					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textpeso	text	text	U+20B1	textpeso					lib/LaTeXML/Package/textcomp.sty.ltxml:121	from %textcomp_money
\textpilcrow	text	text	U+00B6	textpilcrow					lib/LaTeXML/Package/textcomp.sty.ltxml:139	from %textcomp_footnote
\textpm	text	text	U+00B1	textpm				\pm	lib/LaTeXML/Package/textcomp.sty.ltxml:159	from %textcomp_scientific
\textquotesingle	text	text	U+0027	textquotesingle					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textquotestraightbase	text	text	U+201A	textquotestraightbase					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textquotestraightdblbase	text	text	U+201E	textquotestraightdblbase					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
\textrangle	text	text	U+27E9	textrangle				\rangle	lib/LaTeXML/Package/textcomp.sty.ltxml:86	from %textcomp_pairs
\textrbrackdbl	text	text	U+27E7	textrbrackdbl					lib/LaTeXML/Package/textcomp.sty.ltxml:86	from %textcomp_pairs
\textrecipe	text	text	U+211E	textrecipe					lib/LaTeXML/Package/textcomp.sty.ltxml:195	from %textcomp_various
