command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\bignplus	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0062 U+0069 U+0067 U+0063 U+0061 U+0070 U+005C U+006D U+0061 U+0074 U+0068 U+0063 U+0068 U+006F U+0069 U+0063 U+0065 U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0036 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0033 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0033 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+0027 U+000A U+0020 U+0020 U+0020 U+0020 U+002E U+0020 U+0027 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0031 U+002E U+0033 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	bignplus	intersection-plus	ADDOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:149	
\bigparallel	symbol	math	U+2016	bigparallel		SUMOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:104	
\bigsqcap	symbol	math	U+2A05	bigsqcap		SUMOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:108	
\bigtriangledown	symbol	math	U+25BD	bigtriangledown		SUMOP		\bigtriangledown	lib/LaTeXML/Package/stmaryrd.sty.ltxml:112	
\bigtriangleup	symbol	math	U+25B3	bigtriangleup		SUMOP		\bigtriangleup	lib/LaTeXML/Package/stmaryrd.sty.ltxml:116	
\binampersand	symbol	math	U+0026	binampersand	additive-conjunction	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:34	
\bindnasrepma	symbol	math	U+214B	bindnasrepma	multiplicative-disjunction	RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:36	
\boxast	symbol	math	U+29C6	boxast		BINOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:38	
\boxbar	symbol	math	U+25EB	boxbar		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:39	
\boxbox	symbol	math	U+29C8	boxbox		BINOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:40	
\boxbslash	symbol	math	U+29C5	boxbslash		BINOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:41	
\boxcircle	symbol	math	U+29C7	boxcircle		BINOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:42	
\boxdot	symbol	math	U+22A1	boxdot		MULOP		\boxdot	lib/LaTeXML/Package/stmaryrd.sty.ltxml:43	
\boxempty	symbol	math	U+25A1	boxempty		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:44	
\boxslash	symbol	math	U+29C4	boxslash		BINOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:45	
\fatsemi	symbol	math	U+2A1F	fatsemi		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:51	
\inplus	symbol	math	U+2A2D	inplus		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:121	
\interleave	symbol	math	U+2AF4	interleave		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:53	
\lbag	symbol	math	U+27C5	lbag		OPEN			lib/LaTeXML/Package/stmaryrd.sty.ltxml:196	
\leftarrowtriangle	symbol	math	U+21FD	leftarrowtriangle		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:173	
\leftrightarroweq	symbol	math	U+005C U+0073 U+0074 U+0061 U+0063 U+006B U+0072 U+0065 U+006C U+007B U+005C U+006C U+0065 U+0066 U+0074 U+0072 U+0069 U+0067 U+0068 U+0074 U+0061 U+0072 U+0072 U+006F U+0077 U+007D U+007B U+002D U+007D	leftrightarroweq		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:175	
\leftrightarrowtriangle	symbol	math	U+21FF	leftrightarrowtriangle		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:176	
\leftslice	symbol	math	U+2AA6	leftslice		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:54	
\lightning	symbol	math	U+21AF	lightning		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:177	
\llbracket	symbol	math	U+27E6	llbracket		OPEN		\llbracket	lib/LaTeXML/Package/stmaryrd.sty.ltxml:197	
\llceil	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0033 U+0065 U+006D U+007D U+007B U+005C U+006C U+0063 U+0065 U+0069 U+006C U+007D U+005C U+006C U+0063 U+0065 U+0069 U+006C U+007D	llceil		OPEN			lib/LaTeXML/Package/stmaryrd.sty.ltxml:198	
\llfloor	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0033 U+0065 U+006D U+007D U+007B U+005C U+006C U+0066 U+006C U+006F U+006F U+0072 U+007D U+005C U+006C U+0066 U+006C U+006F U+006F U+0072 U+007D	llfloor		OPEN			lib/LaTeXML/Package/stmaryrd.sty.ltxml:204	
\llparenthesis	symbol	math	U+2987	llparenthesis		OPEN			lib/LaTeXML/Package/stmaryrd.sty.ltxml:210	
\longarrownot	symbol	math	U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+007D U+007B U+002F U+007D	longarrownot		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:163	
\longmapsfrom	symbol	math	U+27FB	longmapsfrom		ARROW			lib/LaTeXML/Package/stmaryrd.sty.ltxml:178	
\mapsfrom	symbol	math	U+21A4	mapsfrom		ARROW		\mapsfrom	lib/LaTeXML/Package/stmaryrd.sty.ltxml:179	
\mapsfromchar	symbol	math	U+007C	mapsfromchar		RELOP		\textbar	lib/LaTeXML/Package/stmaryrd.sty.ltxml:166	
\merge	symbol	math	U+2A07	merge		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:55	
\minuso	symbol	math	U+29B5	minuso		RELOP		\minuso	lib/LaTeXML/Package/stmaryrd.sty.ltxml:56	
\niplus	symbol	math	U+2A2E	niplus		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:122	
\nplus	symbol	math	U+005C U+006C U+0078 U+0040 U+006B U+006C U+0075 U+0064 U+0067 U+0065 U+0064 U+007B U+005C U+0063 U+0061 U+0070 U+007B U+005C U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0063 U+0072 U+0069 U+0070 U+0074 U+0073 U+0074 U+0079 U+006C U+0065 U+005C U+006C U+0078 U+0040 U+0074 U+0077 U+0065 U+0061 U+006B U+0065 U+0064 U+007B U+0077 U+0069 U+0064 U+0074 U+0068 U+003D U+0030 U+0070 U+0074 U+002C U+0078 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+002D U+0030 U+002E U+0037 U+0035 U+0065 U+006D U+002C U+0079 U+006F U+0066 U+0066 U+0073 U+0065 U+0074 U+003D U+0030 U+002E U+0032 U+0065 U+0078 U+007D U+007B U+002B U+007D U+007D U+007D	nplus	intersection-plus	ADDOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:145	
\ntrianglelefteqslant	symbol	math	U+22EC	ntrianglelefteqslant		RELOP		\ntrianglelefteq	lib/LaTeXML/Package/stmaryrd.sty.ltxml:123	
\ntrianglerighteqslant	symbol	math	U+22ED	ntrianglerighteqslant		RELOP		\ntrianglerighteq	lib/LaTeXML/Package/stmaryrd.sty.ltxml:124	
\obar	symbol	math	U+29B6	obar		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:58	
\oblong	symbol	math	U+2395	oblong		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:59	
\obslash	symbol	math	U+29B8	obslash		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:60	
\ogreaterthan	symbol	math	U+29C1	ogreaterthan		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:61	
\olessthan	symbol	math	U+29C0	olessthan		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:62	
\ovee	symbol	math	U+2228 U+20DD	ovee		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:63	
\owedge	symbol	math	U+2227 U+20DD	owedge		RELOP			lib/LaTeXML/Package/stmaryrd.sty.ltxml:64	
\rbag	symbol	math	U+27C6	rbag		CLOSE			lib/LaTeXML/Package/stmaryrd.sty.ltxml:212	
