command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\fullnote	text	text	U+1D15D	fullnote					lib/LaTeXML/Package/wasysym.sty.ltxml:116	
\gemini	text	text	U+264A	gemini					lib/LaTeXML/Package/wasysym.sty.ltxml:155	
\gluon	text	text	U+27BF U+27BF U+27BF	gluon					lib/LaTeXML/Package/wasysym.sty.ltxml:48	
\halfnote	text	text	U+1D15E	halfnote					lib/LaTeXML/Package/wasysym.sty.ltxml:115	
\hexagon	text	text	U+2394	hexagon					lib/LaTeXML/Package/wasysym.sty.ltxml:101	
\hexstar	text	text	U+26B9	hexstar					lib/LaTeXML/Package/wasysym.sty.ltxml:105	
\iiint	symbol	math	U+222D	iiint	triple-integral	INTOP		\iiint	lib/LaTeXML/Package/wasysym.sty.ltxml:59	
\iiintop	symbol	math	U+222D	iiintop	triple-integral	INTOP		\iiint	lib/LaTeXML/Package/wasysym.sty.ltxml:53	
\iint	symbol	math	U+222C	iint	double-integral	INTOP		\iint	lib/LaTeXML/Package/wasysym.sty.ltxml:57	
\iintop	symbol	math	U+222C	iintop	double-integral	INTOP		\iint	lib/LaTeXML/Package/wasysym.sty.ltxml:51	
\invdiameter	text	text	U+29B0	invdiameter					lib/LaTeXML/Package/wasysym.sty.ltxml:77	
\inve	text	text	U+01DD	inve					lib/LaTeXML/Package/wasysym.sty.ltxml:133	
\invneg	symbol	math	U+2310	invneg					lib/LaTeXML/Package/wasysym.sty.ltxml:42	
\jupiter	text	text	U+2643	jupiter					lib/LaTeXML/Package/wasysym.sty.ltxml:147	
\kreuz	text	text	U+2720	kreuz					lib/LaTeXML/Package/wasysym.sty.ltxml:80	
\leadsto	symbol	math	U+2933	leadsto				\leadsto	lib/LaTeXML/Package/wasysym.sty.ltxml:30	
\leftmoon	text	text	U+263E	leftmoon					lib/LaTeXML/Package/wasysym.sty.ltxml:140	
\leftturn	text	text	U+21BA	leftturn				\circlearrowleft	lib/LaTeXML/Package/wasysym.sty.ltxml:127	
\leo	text	text	U+264C	leo					lib/LaTeXML/Package/wasysym.sty.ltxml:157	
\lhd	symbol	math	U+22B2	lhd				\lhd	lib/LaTeXML/Package/wasysym.sty.ltxml:33	
\libra	text	text	U+264E	libra					lib/LaTeXML/Package/wasysym.sty.ltxml:159	
\lightning	text	text	U+21AF	lightning					lib/LaTeXML/Package/wasysym.sty.ltxml:70	
\logof	symbol	math	U+229B	logof				\circledast	lib/LaTeXML/Package/wasysym.sty.ltxml:44	
\male	text	text	U+2642	male					lib/LaTeXML/Package/wasysym.sty.ltxml:64	
\mars	text	text	U+2642	mars					lib/LaTeXML/Package/wasysym.sty.ltxml:146	
\mercury	text	text	U+263F	mercury					lib/LaTeXML/Package/wasysym.sty.ltxml:143	
\neptune	text	text	U+2646	neptune					lib/LaTeXML/Package/wasysym.sty.ltxml:150	
\newmoon	text	text	U+1F311	newmoon					lib/LaTeXML/Package/wasysym.sty.ltxml:139	
\notbackslash	text	text	U+2340	notbackslash					lib/LaTeXML/Package/wasysym.sty.ltxml:180	
\notslash	text	text	U+233F	notslash					lib/LaTeXML/Package/wasysym.sty.ltxml:181	
\ocircle	symbol	math	U+25CB	ocircle					lib/LaTeXML/Package/wasysym.sty.ltxml:43	
\oiint	symbol	math	U+222F	oiint	surface-integral	INTOP		\oiint	lib/LaTeXML/Package/wasysym.sty.ltxml:61	
\oiintop	symbol	math	U+222F	oiintop	surface-integral	INTOP		\oiint	lib/LaTeXML/Package/wasysym.sty.ltxml:55	
\openo	text	text	U+0254	openo					lib/LaTeXML/Package/wasysym.sty.ltxml:132	
\opposition	text	text	U+260D	opposition					lib/LaTeXML/Package/wasysym.sty.ltxml:166	
\pentagon	text	text	U+2B20	pentagon					lib/LaTeXML/Package/wasysym.sty.ltxml:104	
\permil	text	text	U+2030	permil					lib/LaTeXML/Package/wasysym.sty.ltxml:88	
\phone	text	text	U+260E	phone					lib/LaTeXML/Package/wasysym.sty.ltxml:67	
\photon	text	text	U+3030 U+3030	photon					lib/LaTeXML/Package/wasysym.sty.ltxml:47	
\pisces	text	text	U+2653	pisces					lib/LaTeXML/Package/wasysym.sty.ltxml:164	
\pluto	text	text	U+2647	pluto					lib/LaTeXML/Package/wasysym.sty.ltxml:151	
\pointer	text	text	U+21E8	pointer					lib/LaTeXML/Package/wasysym.sty.ltxml:71	
\quarternote	text	text	U+1D15F	quarternote					lib/LaTeXML/Package/wasysym.sty.ltxml:114	
\recorder	text	text	U+2315	recorder					lib/LaTeXML/Package/wasysym.sty.ltxml:68	
\rhd	symbol	math	U+22B3	rhd				\rhd	lib/LaTeXML/Package/wasysym.sty.ltxml:36	
\rightmoon	text	text	U+263D	rightmoon					lib/LaTeXML/Package/wasysym.sty.ltxml:141	
\rightturn	text	text	U+21BB	rightturn				\circlearrowright	lib/LaTeXML/Package/wasysym.sty.ltxml:128	
\sagittarius	text	text	U+2650	sagittarius					lib/LaTeXML/Package/wasysym.sty.ltxml:161	
\saturn	text	text	U+2644	saturn					lib/LaTeXML/Package/wasysym.sty.ltxml:148	
\scorpio	text	text	U+264F	scorpio					lib/LaTeXML/Package/wasysym.sty.ltxml:160	
