command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Psi	symbol	math	U+03A8	Psi				\Psi	lib/LaTeXML/Engine/math_common.pool.ltxml:59	
\Re	symbol	math	U+211C	Re	real-part	OPFUNCTION		\Re	lib/LaTeXML/Engine/math_common.pool.ltxml:74	
\Relbar	symbol	math	U+003D	Relbar		RELOP		=	lib/LaTeXML/Engine/math_common.pool.ltxml:364	
\Rightarrow	symbol	math	U+21D2	Rightarrow		ARROW		\Rightarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:415	
\SS	text	text	U+0053 U+0053	SS					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5411	
\Sigma	symbol	math	U+03A3	Sigma				\Sigma	lib/LaTeXML/Engine/math_common.pool.ltxml:56	
\TH	text	text	U+00DE	TH					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2775	
\Theta	symbol	math	U+0398	Theta				\Theta	lib/LaTeXML/Engine/math_common.pool.ltxml:52	
\Uparrow	symbol	math	U+21D1	Uparrow		ARROW		\Uparrow	lib/LaTeXML/Engine/math_common.pool.ltxml:437	
\Updownarrow	symbol	math	U+21D5	Updownarrow		ARROW		\Updownarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:441	
\Upsilon	symbol	math	U+03A5	Upsilon				\Upsilon	lib/LaTeXML/Engine/math_common.pool.ltxml:57	
\Xi	symbol	math	U+039E	Xi				\Xi	lib/LaTeXML/Engine/math_common.pool.ltxml:54	
\aa	text	text	U+00E5	aa				\aa	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2762	
\aa	text	text	U+00E5	aa				\aa	lib/LaTeXML/Engine/plain_base.pool.ltxml:528	
\ae	text	text	U+00E6	ae				\ae	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2760	
\ae	text	text	U+00E6	ae				\ae	lib/LaTeXML/Engine/plain_base.pool.ltxml:526	
\aleph	symbol	math	U+2135	aleph				\aleph	lib/LaTeXML/Engine/math_common.pool.ltxml:68	
\alpha	symbol	math	U+03B1	alpha				\alpha	lib/LaTeXML/Engine/math_common.pool.ltxml:21	
\amalg	symbol	math	U+2210	amalg	coproduct	MULOP		\amalg	lib/LaTeXML/Engine/math_common.pool.ltxml:248	
\angle	symbol	math	U+2220	angle				\angle	lib/LaTeXML/Engine/math_common.pool.ltxml:86	
\approx	symbol	math	U+2248	approx	approximately-equals	RELOP		\approx	lib/LaTeXML/Engine/math_common.pool.ltxml:282	
\arccos	symbol	math	U+0061 U+0072 U+0063 U+0063 U+006F U+0073	arccos	inverse-cosine	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:725	
\arcsin	symbol	math	U+0061 U+0072 U+0063 U+0073 U+0069 U+006E	arcsin	inverse-sine	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:726	
\arctan	symbol	math	U+0061 U+0072 U+0063 U+0074 U+0061 U+006E	arctan	inverse-tangent	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:727	
\arg	symbol	math	U+0061 U+0072 U+0067	arg	argument	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:728	
\arrowvert	symbol	math	U+007C	arrowvert		VERTBAR		\textbar	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5427	
