command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\Pisymbol{pzd}{173}	text	text	U+2461	Pisymbol-pzd-173					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 173
\Pisymbol{pzd}{174}	text	text	U+2462	Pisymbol-pzd-174					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 174
\Pisymbol{pzd}{175}	text	text	U+2463	Pisymbol-pzd-175					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 175
\Pisymbol{pzd}{176}	text	text	U+2464	Pisymbol-pzd-176					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 176
\Pisymbol{pzd}{177}	text	text	U+2465	Pisymbol-pzd-177					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 177
\Pisymbol{pzd}{178}	text	text	U+2466	Pisymbol-pzd-178					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 178
\Pisymbol{pzd}{179}	text	text	U+2467	Pisymbol-pzd-179					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 179
\Pisymbol{pzd}{180}	text	text	U+2468	Pisymbol-pzd-180					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 180
\Pisymbol{pzd}{181}	text	text	U+2469	Pisymbol-pzd-181					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 181
\Pisymbol{pzd}{182}	text	text	U+2776	Pisymbol-pzd-182					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 182
\Pisymbol{pzd}{183}	text	text	U+2777	Pisymbol-pzd-183					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 183
\Pisymbol{pzd}{184}	text	text	U+2778	Pisymbol-pzd-184					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 184
\Pisymbol{pzd}{185}	text	text	U+2779	Pisymbol-pzd-185					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 185
\Pisymbol{pzd}{186}	text	text	U+277A	Pisymbol-pzd-186					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 186
\Pisymbol{pzd}{187}	text	text	U+277B	Pisymbol-pzd-187					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 187
\Pisymbol{pzd}{188}	text	text	U+277C	Pisymbol-pzd-188					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 188
\Pisymbol{pzd}{189}	text	text	U+277D	Pisymbol-pzd-189					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 189
\Pisymbol{pzd}{190}	text	text	U+277E	Pisymbol-pzd-190					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 190
\Pisymbol{pzd}{191}	text	text	U+277F	Pisymbol-pzd-191					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 191
\Pisymbol{pzd}{192}	text	text	U+2780	Pisymbol-pzd-192					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 192
\Pisymbol{pzd}{193}	text	text	U+2781	Pisymbol-pzd-193					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 193
\Pisymbol{pzd}{194}	text	text	U+2782	Pisymbol-pzd-194					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 194
\Pisymbol{pzd}{195}	text	text	U+2783	Pisymbol-pzd-195					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 195
\Pisymbol{pzd}{196}	text	text	U+2784	Pisymbol-pzd-196					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 196
\Pisymbol{pzd}{197}	text	text	U+2785	Pisymbol-pzd-197					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 197
\Pisymbol{pzd}{198}	text	text	U+2786	Pisymbol-pzd-198					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 198
\Pisymbol{pzd}{199}	text	text	U+2787	Pisymbol-pzd-199					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 199
\Pisymbol{pzd}{200}	text	text	U+2788	Pisymbol-pzd-200					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 200
\Pisymbol{pzd}{201}	text	text	U+2789	Pisymbol-pzd-201					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 201
\Pisymbol{pzd}{202}	text	text	U+278A	Pisymbol-pzd-202					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 202
\Pisymbol{pzd}{203}	text	text	U+278B	Pisymbol-pzd-203					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 203
\Pisymbol{pzd}{204}	text	text	U+278C	Pisymbol-pzd-204					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 204
\Pisymbol{pzd}{205}	text	text	U+278D	Pisymbol-pzd-205					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 205
\Pisymbol{pzd}{206}	text	text	U+278E	Pisymbol-pzd-206					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 206
\Pisymbol{pzd}{207}	text	text	U+278F	Pisymbol-pzd-207					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 207
\Pisymbol{pzd}{208}	text	text	U+2790	Pisymbol-pzd-208					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 208
\Pisymbol{pzd}{209}	text	text	U+2791	Pisymbol-pzd-209					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 209
\Pisymbol{pzd}{210}	text	text	U+2792	Pisymbol-pzd-210					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 210
\Pisymbol{pzd}{211}	text	text	U+2793	Pisymbol-pzd-211					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 211
\Pisymbol{pzd}{212}	text	text	U+2794	Pisymbol-pzd-212					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 212
\Pisymbol{pzd}{213}	text	text	U+2192	Pisymbol-pzd-213					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 213
\Pisymbol{pzd}{214}	text	text	U+2194	Pisymbol-pzd-214				\leftrightarrow	lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 214
\Pisymbol{pzd}{215}	text	text	U+2195	Pisymbol-pzd-215				\updownarrow	lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 215
\Pisymbol{pzd}{216}	text	text	U+2798	Pisymbol-pzd-216					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 216
\Pisymbol{pzd}{217}	text	text	U+2799	Pisymbol-pzd-217					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 217
\Pisymbol{pzd}{218}	text	text	U+279A	Pisymbol-pzd-218					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 218
\Pisymbol{pzd}{219}	text	text	U+279B	Pisymbol-pzd-219					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 219
\Pisymbol{pzd}{220}	text	text	U+279C	Pisymbol-pzd-220					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 220
\Pisymbol{pzd}{221}	text	text	U+279D	Pisymbol-pzd-221					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 221
\Pisymbol{pzd}{222}	text	text	U+279E	Pisymbol-pzd-222					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 222
\Pisymbol{pzd}{223}	text	text	U+279F	Pisymbol-pzd-223					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 223
\Pisymbol{pzd}{224}	text	text	U+27A0	Pisymbol-pzd-224					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 224
\Pisymbol{pzd}{225}	text	text	U+27A1	Pisymbol-pzd-225					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 225
\Pisymbol{pzd}{226}	text	text	U+27A2	Pisymbol-pzd-226					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 226
\Pisymbol{pzd}{227}	text	text	U+27A3	Pisymbol-pzd-227					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 227
\Pisymbol{pzd}{228}	text	text	U+27A4	Pisymbol-pzd-228					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 228
\Pisymbol{pzd}{229}	text	text	U+27A5	Pisymbol-pzd-229					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 229
\Pisymbol{pzd}{230}	text	text	U+27A6	Pisymbol-pzd-230					lib/LaTeXML/Package/pzd.fontmap.ltxml:18	fontmap pzd slot 230
