command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\supsetneqq	symbol	math	U+2ACC	supsetneqq	superset-of-and-not-equals	RELOP		\supsetneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:271	
\therefore	symbol	math	U+2234	therefore	therefore	METARELOP		\therefore	lib/LaTeXML/Package/amssymb.sty.ltxml:200	
\thickapprox	symbol	math	U+2248	thickapprox	approximately-equals	RELOP		\thickapprox	lib/LaTeXML/Package/amssymb.sty.ltxml:171	
\thicksim	symbol	math	U+223C	thicksim		RELOP		\thicksim	lib/LaTeXML/Package/amssymb.sty.ltxml:170	
\triangledown	symbol	math	U+25BD	triangledown				\triangledown	lib/LaTeXML/Package/amssymb.sty.ltxml:36	
\triangleq	symbol	math	U+225C	triangleq		RELOP		\triangleq	lib/LaTeXML/Package/amssymb.sty.ltxml:169	
\twoheadleftarrow	symbol	math	U+219E	twoheadleftarrow		ARROW		\twoheadleftarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:326	
\twoheadrightarrow	symbol	math	U+21A0	twoheadrightarrow		ARROW		\twoheadrightarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:338	
\upharpoonleft	symbol	math	U+21BF	upharpoonleft		ARROW		\upharpoonleft	lib/LaTeXML/Package/amssymb.sty.ltxml:334	
\upharpoonright	symbol	math	U+21BE	upharpoonright		ARROW		\upharpoonright	lib/LaTeXML/Package/amssymb.sty.ltxml:346	
\upuparrows	symbol	math	U+21C8	upuparrows		ARROW		\upuparrows	lib/LaTeXML/Package/amssymb.sty.ltxml:333	
\vDash	symbol	math	U+22A8	vDash		RELOP		\vDash	lib/LaTeXML/Package/amssymb.sty.ltxml:137	
\varkappa	symbol	math	U+03F0	varkappa				\varkappa	lib/LaTeXML/Package/amssymb.sty.ltxml:23	
\varnothing	symbol	math	U+2205	varnothing	empty-set	ID		\varnothing	lib/LaTeXML/Package/amssymb.sty.ltxml:47	
\varpropto	symbol	math	U+221D	varpropto	proportional-to	RELOP		\varpropto	lib/LaTeXML/Package/amssymb.sty.ltxml:197	
\varsubsetneq	symbol	math	U+228A	varsubsetneq	subset-of-and-not-equals	RELOP		\varsubsetneq	lib/LaTeXML/Package/amssymb.sty.ltxml:261	
\varsubsetneqq	symbol	math	U+2ACB	varsubsetneqq	subset-of-and-not-equals	RELOP		\varsubsetneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:265	
\varsupsetneq	symbol	math	U+228B	varsupsetneq	superset-of-and-not-equals	RELOP		\varsupsetneq	lib/LaTeXML/Package/amssymb.sty.ltxml:269	
\varsupsetneqq	symbol	math	U+2ACC	varsupsetneqq	superset-of-and-not-equals	RELOP		\varsupsetneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:273	
\vartriangle	symbol	math	U+25B3	vartriangle				\vartriangle	lib/LaTeXML/Package/amssymb.sty.ltxml:35	
\veebar	symbol	math	U+22BB	veebar	exclusive-or	ADDOP		\veebar	lib/LaTeXML/Package/amssymb.sty.ltxml:68	
